flow_id,channel_type,coverage_class,rssi_bin_low,rssi_bin_high,rssi_bin_center,median_rssi,attempted_packets,received_packets,dropped_packets,empirical_loss_ratio,expected_loss_ratio_mean,ci95_low,ci95_high,absolute_error,low_confidence
control,control,normal,-80.0,-78.0,-79.0,-78.169796,6310,2886,3424,0.5426307448494453,0.5438418179272583,0.5303163912714293,0.5548932218427165,0.0012110730778129852,False
control,control,normal,-78.0,-76.0,-77.0,-76.534463,2273,1524,749,0.32952045754509457,0.3374147461816982,0.31049856433834677,0.349117633819663,0.00789428863660363,False
control,control,normal,-76.0,-74.0,-75.0,-75.893529,4961,3700,1261,0.2541826244708728,0.2484989805974602,0.24225998498799522,0.26648567167102083,0.005683643873412608,False
control,control,normal,-74.0,-72.0,-73.0,-73.95846,5386,4784,602,0.1117712588191608,0.11303020870349054,0.10363149012526755,0.12046444620057921,0.0012589498843297436,False
control,control,normal,-72.0,-70.0,-71.0,-71.464917,4161,3998,163,0.03917327565489065,0.03687551811031002,0.03369086764609898,0.045505805764001414,0.002297757544580628,False
payload,payload,normal,-80.0,-78.0,-79.0,-78.169796,6069,2816,3253,0.5360026363486571,0.5438344190378975,0.5234368440023187,0.5485228791032535,0.007831782689240452,False
payload,payload,normal,-78.0,-76.0,-77.0,-76.534463,2173,1421,752,0.34606534744592726,0.3373841069889554,0.32635086096614957,0.36632314893884294,0.008681240456971884,False
payload,payload,normal,-76.0,-74.0,-75.0,-75.893529,4744,3590,1154,0.24325463743676223,0.24850178314481453,0.2312562937392508,0.2556684596055112,0.005247145708052292,False
payload,payload,normal,-74.0,-72.0,-73.0,-73.95846,5123,4519,604,0.11789966816318563,0.11305493769022056,0.10935366198871097,0.1270182984791139,0.004844730472965075,False
payload,payload,normal,-72.0,-70.0,-71.0,-71.464917,3916,3782,134,0.03421859039836568,0.03687461173953013,0.02896574791466349,0.04038440133626544,0.0026560213411644523,False
